from_id	to_id	type	time
U48	U13	1	926389620
U67	U13	1	926418960
U67	U13	1	926418960
U75	U147	1	926430480
U67	U48	1	926498640
U67	U13	1	926935080
U67	U13	1	926997360
U48	U50	1	927270780
U48	U50	1	927270780
U48	U13	1	927536400
U67	U48	1	927598320
U67	U13	1	927616080
U67	U13	1	927616080
U48	U13	1	927692280
U48	U67	1	927692280
U48	U147	1	927692280
U48	U50	1	927692280
U48	U13	1	927699420
U48	U147	1	927699420
U48	U147	1	927699420
U48	U147	1	927792960
U48	U50	1	927859260
U48	U13	1	927878580
U48	U67	1	927878580
U48	U147	1	927878580
U48	U50	1	927878580
U67	U13	1	927887100
U67	U13	1	928211880
U48	U13	1	928217280
U48	U67	1	928217280
U48	U147	1	928217280
U48	U50	1	928217280
U48	U13	1	928287600
U48	U67	1	928287600
U48	U147	1	928287600
U48	U50	1	928287600
U48	U38	1	928287600
U48	U147	1	928382940
U48	U147	1	928385880
U48	U147	1	928986480
U75	U49	1	929352000
U67	U147	1	929356560
U75	U75	1	929362560
U67	U147	1	929434500
U75	U49	1	929446800
U75	U49	1	929594460
U67	U147	1	929608020
U75	U49	1	929696040
U75	U49	1	930536820
U75	U49	1	930624600
U75	U49	1	930625860
U75	U49	1	930631200
U67	U13	1	930793800
U67	U13	1	931236420
U67	U147	1	931237740
U67	U50	1	931237740
U67	U13	1	931237740
U67	U48	1	931237740
U48	U13	1	931248840
U48	U67	1	931248840
U48	U147	1	931248840
U48	U50	1	931248840
U48	U13	1	931346160
U48	U67	1	931346160
U48	U147	1	931346160
U48	U50	1	931346160
U107	U54	1	931419120
U107	U107	1	931419120
U67	U147	1	931420440
U67	U50	1	931420440
U67	U13	1	931420440
U67	U48	1	931420440
U50	U67	1	932093100
U48	U13	1	932109720
U48	U67	1	932109720
U48	U147	1	932109720
U48	U50	1	932109720
U67	U13	1	932705760
U67	U13	1	932705760
U67	U13	1	932707380
U67	U13	1	932707500
U107	U54	1	932715480
U107	U54	1	932715480
U67	U50	1	933040020
U48	U147	1	933063840
U67	U13	1	933126720
U48	U27	1	933128880
U67	U13	1	933128880
U67	U13	1	933135060
U67	U50	1	933146220
U48	U13	1	933298800
U67	U147	1	933560580
U67	U13	1	933566340
U67	U13	1	933591060
U67	U13	1	933654660
U67	U13	1	933661980
U96	U67	1	933675960
U75	U49	1	933849240
U67	U13	1	933905460
U67	U13	1	934257960
U67	U50	1	934339380
U67	U13	1	934339380
U67	U50	1	934346100
U48	U13	1	934347060
U48	U67	1	934347060
U48	U147	1	934347060
U48	U50	1	934347060
U67	U50	1	934355340
U67	U50	1	934425480
U67	U13	1	934425480
U67	U48	1	934425480
U67	U147	1	934425480
U48	U147	1	934438140
U67	U50	1	934452060
U48	U67	1	934453200
U48	U13	1	934513860
U48	U67	1	934513860
U48	U147	1	934513860
U48	U50	1	934513860
U151	U66	1	934769820
U151	U129	1	934769820
U151	U66	1	934769820
U151	U129	1	934769820
U48	U27	1	934871340
U48	U13	1	934875120
U48	U67	1	934875120
U48	U147	1	934875120
U48	U50	1	934875120
U48	U67	1	935048100
U48	U67	1	935048100
U67	U50	1	935403360
U50	U67	1	935490960
U50	U67	1	935490960
U67	U147	1	935495400
U48	U107	1	935549100
U48	U50	1	935553000
U48	U13	1	935553000
U48	U107	1	935581560
U67	U147	1	935631960
U48	U13	1	935633340
U67	U50	1	935634720
U48	U50	1	935739960
U48	U50	1	935740620
U48	U13	1	935740620
U48	U147	1	935740740
U48	U67	1	935740740
U50	U67	1	935750460
U48	U13	1	935982960
U48	U67	1	935982960
U48	U147	1	935982960
U48	U50	1	935982960
U48	U13	1	935983860
U48	U50	1	935983860
U67	U50	1	935993280
U67	U50	1	935993280
U50	U67	1	935997120
U50	U67	1	935999160
U50	U67	1	935999160
U67	U13	1	936067020
U67	U13	1	936067020
U48	U13	1	936071100
U48	U50	1	936071100
U48	U13	1	936072720
U48	U67	1	936072720
U48	U147	1	936072720
U48	U50	1	936072720
U67	U50	1	936078600
U67	U50	1	936081480
U67	U50	1	936081480
U67	U13	1	936097800
U67	U13	1	936097800
U48	U67	1	936175740
U67	U48	1	936176100
U48	U67	1	936180180
U48	U67	1	936180180
U48	U136	1	936180660
U48	U67	1	936180660
U67	U147	1	936187080
U67	U147	1	936187080
U67	U50	1	936187260
U67	U13	1	936187260
U48	U67	1	936236700
U67	U48	1	936237120
U67	U147	1	936237120
U67	U50	1	936237120
U67	U13	1	936237120
U67	U48	1	936237120
U67	U147	1	936237120
U67	U50	1	936237120
U67	U13	1	936237120
U67	U48	1	936239940
U67	U48	1	936239940
U48	U67	1	936242400
U67	U147	1	936242820
U67	U48	1	936259260
U50	U67	1	936268980
U48	U136	1	936339660
U48	U67	1	936339660
U67	U48	1	936341400
U67	U50	1	936352140
U67	U50	1	936352140
U48	U67	1	936353640
U48	U67	1	936353640
U48	U67	1	936667500
U48	U147	1	936667500
U67	U147	1	936670140
U67	U50	1	936670140
U67	U13	1	936670140
U67	U48	1	936670140
U48	U67	1	936670440
U67	U50	1	936670500
U67	U147	1	936671700
U50	U67	1	936675900
U50	U67	1	936675900
U50	U67	1	936675900
U67	U147	1	936684300
U67	U50	1	936684300
U67	U13	1	936684300
U67	U48	1	936684300
U48	U67	1	936684600
U48	U67	1	936754020
U48	U147	1	936754020
U67	U13	1	936757440
U67	U147	1	936766500
U67	U50	1	936766500
U67	U13	1	936766500
U67	U48	1	936766500
U67	U50	1	936768660
U67	U13	1	936768660
U67	U147	1	936768900
U67	U50	1	936768900
U67	U13	1	936768900
U67	U48	1	936768900
U67	U147	1	936769380
U67	U50	1	936770160
U67	U13	1	936770160
U48	U67	1	936776220
U75	U142	1	936780960
U75	U142	1	936780960
U48	U147	1	936844020
U67	U147	1	936844500
U75	U137	1	936866040
U48	U107	1	936870480
U48	U107	1	936870480
U48	U67	1	936872160
U48	U13	1	936872160
U48	U67	1	936872160
U48	U13	1	936872160
U48	U147	1	936933000
U48	U13	1	936933960
U48	U67	1	936933960
U48	U147	1	936933960
U48	U50	1	936933960
U67	U13	1	936948420
U67	U50	1	937210440
U67	U147	1	937212360
U48	U136	1	937217160
U48	U142	1	937217160
U48	U27	1	937217160
U48	U67	1	937217160
U48	U147	1	937217160
U48	U50	1	937217160
U48	U13	1	937217160
U48	U76	1	937217160
U48	U13	1	937299780
U67	U13	1	937310340
U67	U13	1	937359780
U48	U147	1	937447140
U67	U50	1	937461540
U67	U13	1	937461540
U48	U13	1	937542180
U48	U67	1	937542180
U48	U147	1	937542180
U48	U50	1	937542180
U67	U147	1	937566780
U67	U147	1	937566780
U48	U147	1	937800960
U75	U137	1	937803360
U48	U147	1	937810200
U48	U13	1	937814280
U48	U67	1	937814280
U48	U147	1	937814280
U48	U50	1	937814280
U48	U147	1	937969320
U48	U147	1	938057580
U50	U67	1	938407860
U48	U147	1	938568240
U48	U147	1	938568240
U67	U13	1	938570520
U67	U13	1	938574480
U67	U13	1	938582820
U67	U13	1	938602200
U67	U13	1	938657040
U67	U50	1	938677140
U67	U147	1	938681580
U67	U147	1	938682300
U67	U48	1	938748360
U67	U48	1	938748360
U67	U48	1	938748360
U67	U48	1	938748360
U67	U147	1	938749380
U67	U50	1	938749380
U67	U13	1	938749380
U67	U48	1	938749380
U67	U13	1	938749500
U50	U67	1	939009240
U48	U147	1	939019080
U48	U13	1	939019080
U48	U147	1	939022140
U107	U48	1	939217560
U48	U136	1	939265800
U48	U27	1	939265800
U48	U107	1	939265800
U48	U107	1	939265800
U75	U137	1	939288060
U75	U137	1	939354060
U67	U13	1	939612720
U67	U13	1	939612720
U67	U13	1	939613320
U67	U13	1	939613320
U67	U50	1	939616860
U67	U13	1	939622260
U67	U13	1	939622260
U67	U13	1	939624600
U50	U67	1	939639300
U147	U67	1	939714360
U147	U67	1	939714360
U147	U27	1	939714540
U147	U67	1	939714540
U147	U67	1	939714540
U13	U48	1	939803520
U48	U107	1	939812880
U48	U107	1	939812880
U48	U107	1	939812880
U48	U107	1	939812880
U75	U137	1	939881760
U48	U147	1	939886800
U75	U137	1	939963240
U67	U50	1	940211460
U67	U13	1	940213680
U50	U67	1	940214520
U48	U147	1	940215180
U67	U13	1	940228620
U48	U27	1	940407300
U67	U147	1	940470960
U67	U13	1	940472100
U67	U13	1	940472100
U67	U50	1	940473660
U48	U13	1	940492860
U67	U50	1	940561140
U67	U50	1	940561140
U67	U50	1	940561320
U67	U50	1	940561320
U67	U50	1	940561920
U67	U13	1	940573200
U67	U13	1	940586340
U48	U67	1	940586820
U67	U48	1	940587060
U48	U107	1	940588380
U67	U13	1	940816560
U67	U50	1	940822140
U67	U13	1	940826040
U67	U67	1	940831740
U67	U67	1	940831800
U50	U67	1	940832040
U67	U13	1	940834380
U67	U13	1	940834380
U48	U50	1	940838760
U67	U44	1	940844760
U67	U50	1	940915260
U48	U67	1	941004840
U48	U67	1	941004840
U48	U67	1	941012280
U48	U67	1	941012280
U67	U67	1	941417160
U13	U67	1	941510880
U13	U67	1	941510880
U147	U13	1	941602440
U147	U50	1	941602440
U147	U48	1	941602440
U13	U67	1	941615160
U13	U67	1	941615160
U67	U147	1	941617500
U67	U50	1	941625540
U67	U13	1	941625540
U67	U147	1	941625540
U67	U147	1	941625540
U13	U67	1	941703180
U13	U67	1	941703180
U48	U50	1	941707560
U48	U13	1	941707560
U67	U13	1	941764620
U67	U13	1	941764620
U67	U13	1	942026340
U67	U13	1	942026340
U147	U67	1	942109140
U147	U67	1	942109140
U147	U67	1	942109140
U147	U67	1	942109140
U67	U147	1	942117300
U67	U13	1	942125700
U48	U122	1	942222180
U48	U107	1	942222180
U48	U122	1	942222180
U48	U107	1	942222180
U67	U147	1	942394140
U67	U50	1	942394140
U67	U13	1	942627780
U67	U147	1	942640320
U67	U50	1	942640320
U67	U48	1	942640320
U67	U13	1	942640320
U48	U147	1	942992040
U48	U67	1	942992040
U48	U13	1	942994140
U48	U67	1	942994140
U48	U147	1	942994140
U48	U50	1	942994140
U48	U67	1	943003680
U48	U67	1	943003680
U67	U13	1	943237860
U67	U13	1	943253100
U13	U48	1	943340640
U13	U48	1	943340640
U67	U147	1	943415160
U67	U76	1	943751400
U67	U13	1	943751400
U67	U13	1	943751400
U67	U13	1	943751520
U67	U147	1	943751520
U67	U13	1	943751520
U67	U147	1	943751520
U67	U13	1	943755240
U67	U13	1	943755240
U139	U69	1	943877460
U139	U27	1	943877460
U139	U69	1	943877460
U139	U27	1	943877460
U48	U50	1	944043420
U48	U50	1	944043420
U48	U67	1	944127300
U67	U48	1	944190180
U48	U136	1	944543340
U48	U136	1	944543640
U48	U136	1	944548800
U48	U136	1	944549460
U48	U50	1	944554620
U48	U13	1	944554620
U67	U13	1	944562540
U139	U69	1	944613360
U27	U69	1	944625600
U48	U136	1	944626140
U48	U136	1	944626140
U13	U67	1	944627160
U13	U67	1	944627160
U48	U136	1	944635860
U139	U69	1	944645820
U139	U27	1	944645820
U48	U136	1	944700780
U48	U27	1	944700780
U48	U147	1	944715180
U48	U147	1	944715180
U139	U69	1	944718600
U48	U27	1	944725860
U48	U136	1	944725860
U48	U136	1	944726280
U48	U27	1	944726280
U67	U13	1	944730360
U67	U50	1	944738520
U67	U13	1	944738520
U67	U48	1	944738520
U67	U147	1	944738520
U114	U81	1	944802300
U48	U136	1	944816760
U48	U27	1	944816760
U114	U81	1	945049500
U48	U136	1	945051300
U48	U27	1	945051300
U48	U136	1	945052620
U48	U136	1	945052620
U125	U61	1	945066720
U27	U39	1	945133080
U48	U136	1	945133380
U67	U147	1	945133920
U67	U147	1	945133920
U48	U136	1	945163920
U48	U27	1	945163920
U75	U58	1	945223920
U48	U147	1	945229620
U48	U67	1	945229620
U67	U27	1	945236760
U75	U142	1	945239580
U75	U142	1	945239580
U67	U13	1	945241680
U67	U13	1	945241680
U67	U13	1	945248640
U67	U13	1	945248640
U48	U136	1	945253980
U48	U27	1	945253980
U137	U32	1	945303960
U75	U142	1	945309360
U75	U142	1	945309360
U48	U27	1	945309780
U48	U27	1	945312600
U48	U136	1	945312600
U67	U13	1	945329820
U137	U32	1	945336840
U137	U32	1	945336840
U137	U32	1	945390420
U137	U32	1	945390420
U67	U27	1	945392280
U67	U27	1	945392280
U48	U136	1	945392760
U48	U27	1	945392760
U137	U32	1	945415680
U122	U125	1	945420900
U122	U122	1	945420900
U122	U128	1	945420900
U122	U91	1	945420900
U122	U59	1	945420900
U122	U49	1	945420900
U48	U136	1	945425040
U48	U27	1	945425040
U137	U32	1	945606420
U137	U32	1	945606420
U67	U50	1	945650940
U67	U13	1	945662400
U67	U13	1	945664860
U67	U13	1	945664920
U48	U136	1	945681420
U48	U27	1	945681420
U13	U27	1	945681960
U13	U67	1	945681960
U13	U67	1	945681960
U67	U13	1	945739560
U49	U19	1	945743880
U49	U19	1	945743880
U75	U142	1	945757800
U75	U142	1	945757800
U67	U27	1	945760560
U67	U13	1	945760560
U137	U20	1	945762300
U137	U20	1	945762300
U137	U20	1	945762660
U137	U20	1	945762660
U67	U96	1	945771480
U67	U13	1	945839940
U67	U50	1	945840660
U67	U13	1	945840660
U67	U50	1	945840660
U67	U13	1	945840660
U137	U49	1	945847440
U137	U49	1	945847920
U137	U49	1	945848100
U114	U96	1	945915180
U114	U81	1	945931560
U114	U96	1	945945780
U114	U96	1	945945780
U114	U81	1	945956160
U114	U81	1	945956160
U114	U81	1	945956160
U114	U81	1	945956160
U125	U61	1	946255860
U49	U137	1	946258020
U49	U137	1	946258080
U114	U96	1	946263060
U114	U81	1	946263060
U114	U96	1	946263060
U114	U81	1	946263060
U114	U96	1	946263060
U114	U81	1	946263060
U114	U96	1	946263060
U114	U81	1	946263060
U114	U81	1	946264620
U114	U63	1	946264620
U114	U81	1	946264620
U114	U63	1	946264620
U114	U81	1	946264620
U114	U63	1	946264620
U114	U81	1	946264680
U114	U63	1	946264680
U114	U81	1	946264740
U114	U63	1	946264740
U114	U81	1	946264800
U114	U63	1	946264800
U114	U81	1	946264800
U114	U63	1	946264800
U114	U81	1	946264860
U114	U63	1	946264860
U114	U81	1	946264860
U114	U63	1	946264860
U114	U81	1	946264860
U114	U63	1	946264860
U114	U81	1	946264860
U114	U63	1	946264860
U114	U81	1	946264920
U114	U63	1	946264920
U114	U81	1	946264980
U114	U63	1	946264980
U114	U81	1	946265040
U114	U63	1	946265040
U114	U81	1	946265880
U114	U63	1	946265880
U49	U49	1	946269240
U49	U49	1	946269420
U114	U81	1	946270860
U114	U63	1	946270860
U27	U54	1	946272300
U27	U54	1	946272300
U114	U81	1	946273860
U114	U63	1	946273860
U114	U81	1	946273920
U114	U63	1	946273920
U114	U81	1	946274040
U114	U63	1	946274040
U114	U81	1	946274820
U114	U63	1	946274820
U114	U81	1	946275360
U114	U63	1	946275360
U114	U81	1	946275420
U114	U63	1	946275420
U114	U81	1	946275780
U114	U63	1	946275780
U114	U81	1	946275780
U114	U63	1	946275780
U114	U81	1	946277880
U114	U63	1	946277880
U114	U81	1	946277940
U114	U63	1	946277940
U114	U81	1	946277940
U114	U63	1	946277940
U49	U2	1	946278780
U49	U2	1	946278780
U114	U96	1	946279440
U114	U81	1	946279440
U114	U96	1	946279440
U114	U81	1	946279440
U114	U63	1	946281540
U114	U96	1	946281540
U114	U81	1	946281540
U114	U96	1	946281540
U114	U81	1	946281540
U137	U141	1	946281960
U137	U49	1	946281960
U137	U141	1	946281960
U137	U49	1	946281960
U114	U114	1	946294260
U114	U114	1	946294260
U114	U81	1	946301220
U114	U81	1	946301220
U114	U81	1	946341660
U114	U81	1	946343100
U114	U63	1	946343100
U114	U114	1	946344180
U114	U114	1	946344180
U114	U114	1	946344300
U114	U114	1	946344300
U114	U114	1	946344300
U114	U114	1	946344300
U114	U81	1	946345500
U114	U63	1	946345500
U48	U13	1	946347300
U48	U67	1	946347300
U48	U147	1	946347300
U48	U50	1	946347300
U114	U114	1	946357440
U114	U114	1	946357440
U49	U19	1	946358220
U114	U81	1	946360920
U114	U114	1	946371960
U114	U81	1	946371960
U114	U114	1	946371960
U114	U81	1	946371960
U114	U81	1	946372200
U114	U63	1	946372200
U114	U81	1	946434360
U114	U63	1	946434360
U114	U81	1	946439820
U114	U63	1	946439820
U48	U136	1	946450320
U48	U27	1	946450320
U48	U13	1	946455240
U48	U13	1	946455240
U48	U13	1	946455240
U48	U13	1	946455240
