from_id	to_id	weight	time
U%	U59835	1899	1899
U1	U2	1	1082008561
U3	U4	1	1082123439
U5	U2	1	1082381991
U6	U7	1	1082407219
U8	U7	1	1082407356
U9	U10	1	1082408003
U9	U11	1	1082408053
U12	U13	1	1082408788
U9	U14	1	1082409354
U9	U15	1	1082409424
U9	U16	1	1082409495
U9	U17	1	1082409753
U9	U14	1	1082409928
U9	U18	1	1082410160
U19	U18	1	1082410623
U20	U21	1	1082412544
U19	U22	1	1082417674
U8	U23	1	1082417843
U9	U24	1	1082418245
U9	U22	1	1082418256
U25	U21	1	1082434689
U26	U7	1	1082448725
U27	U28	1	1082457840
U29	U25	1	1082471683
U30	U31	1	1082485106
U30	U31	1	1082485111
U30	U31	1	1082485113
U30	U31	1	1082485116
U32	U33	1	1082485623
U34	U35	1	1082493130
U34	U33	1	1082493318
U36	U37	1	1082498549
U38	U39	1	1082506449
U36	U40	1	1082507157
U41	U15	1	1082507905
U41	U11	1	1082507954
U41	U14	1	1082508062
U41	U13	1	1082508096
U41	U39	1	1082509042
U41	U42	1	1082541811
U41	U43	1	1082543944
U9	U40	1	1082551300
U44	U45	1	1082553068
U46	U22	1	1082555305
U44	U46	1	1082555822
U47	U46	1	1082556108
U48	U46	1	1082557083
U9	U49	1	1082564155
U36	U50	1	1082565315
U44	U51	1	1082565351
U32	U52	1	1082565656
U36	U32	1	1082565722
U53	U54	1	1082565995
U36	U55	1	1082566145
U56	U57	1	1082566148
U36	U32	1	1082566285
U36	U58	1	1082566365
U44	U59	1	1082566520
U51	U58	1	1082566534
U44	U14	1	1082566672
U36	U56	1	1082566976
U36	U60	1	1082567317
U56	U61	1	1082567668
U62	U50	1	1082568009
U36	U60	1	1082568387
U32	U59	1	1082569055
U36	U60	1	1082569472
U36	U50	1	1082569513
U41	U63	1	1082570219
U41	U64	1	1082570268
U41	U65	1	1082570282
U41	U56	1	1082570300
U41	U61	1	1082570361
U41	U43	1	1082570378
U41	U52	1	1082570407
U41	U58	1	1082570438
U41	U59	1	1082570668
U9	U64	1	1082570724
U9	U58	1	1082570779
U12	U66	1	1082570819
U32	U58	1	1082570866
U12	U66	1	1082570868
U67	U32	1	1082571114
U41	U32	1	1082571171
U67	U32	1	1082571249
U32	U68	1	1082571281
U68	U56	1	1082571450
U67	U32	1	1082571468
U67	U32	1	1082571599
U68	U61	1	1082571618
U67	U32	1	1082571679
U67	U8	1	1082572296
U69	U67	1	1082572990
U70	U51	1	1082574767
U44	U50	1	1082574889
U67	U32	1	1082575954
U71	U58	1	1082576005
U71	U72	1	1082576081
U51	U58	1	1082576109
U72	U71	1	1082576849
U73	U74	1	1082577249
U74	U73	1	1082577319
U73	U74	1	1082577513
U74	U73	1	1082577572
U34	U58	1	1082577714
U44	U75	1	1082577717
U44	U75	1	1082577841
U9	U58	1	1082577894
U73	U74	1	1082577932
U9	U76	1	1082577939
U32	U77	1	1082578926
U41	U76	1	1082579706
U41	U78	1	1082579722
U79	U48	1	1082580094
U79	U63	1	1082580135
U41	U80	1	1082580218
U79	U58	1	1082580264
U41	U81	1	1082580272
U79	U70	1	1082580547
U19	U82	1	1082580971
U19	U72	1	1082581044
U12	U32	1	1082581066
U19	U64	1	1082581510
U19	U58	1	1082581630
U19	U58	1	1082581635
U19	U58	1	1082581637
U19	U52	1	1082581988
U83	U59	1	1082582060
U51	U70	1	1082582077
U38	U58	1	1082582431
U41	U58	1	1082583643
U63	U79	1	1082583685
U41	U63	1	1082583693
U67	U59	1	1082583959
U41	U63	1	1082584335
U41	U58	1	1082584702
U44	U84	1	1082585266
U19	U85	1	1082585806
U19	U72	1	1082585894
U3	U84	1	1082586642
U19	U8	1	1082586796
U19	U58	1	1082586871
U84	U86	1	1082587433
U83	U58	1	1082587603
U36	U60	1	1082587632
U86	U48	1	1082587831
U87	U63	1	1082588109
U36	U88	1	1082588289
U87	U8	1	1082588550
U36	U89	1	1082588983
U90	U56	1	1082589002
U36	U90	1	1082589059
U36	U84	1	1082589118
U91	U92	1	1082589175
U36	U93	1	1082589360
U91	U92	1	1082589425
U36	U90	1	1082589441
U91	U92	1	1082589581
U36	U60	1	1082589801
U36	U84	1	1082590292
U51	U58	1	1082590412
U94	U84	1	1082590504
U36	U84	1	1082590870
